host_id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,price_category,available_category
45602137,Brooklyn,Fort Greene,40.69546,-73.97303,Private room,65,4,0,1,0,Cheapest price,Short term
2203415,Brooklyn,Bedford-Stuyvesant,40.68678,-73.9513,Entire home/apt,85,1,6,1,0,Cheapest price,Short term
10787323,Brooklyn,Bushwick,40.70113,-73.92175,Private room,80,3,3,1,0,Cheapest price,Short term
46401172,Manhattan,West Village,40.73458,-74.00808,Entire home/apt,225,1,83,1,344,Cheapest price,Very Long term
18210699,Brooklyn,Williamsburg,40.71106,-73.95945,Private room,70,4,1,1,220,Cheapest price,Long term
136285709,Manhattan,SoHo,40.72439,-74.00481,Private room,103,1,1,2,0,Cheapest price,Short term
19294443,Brooklyn,Park Slope,40.67514,-73.97598,Entire home/apt,85,2,1,1,0,Cheapest price,Short term
15280538,Manhattan,East Harlem,40.78758,-73.95026,Entire home/apt,465,3,74,1,62,Cheapest price,Short term
236430571,Brooklyn,Flatlands,40.6316,-73.94559,Entire home/apt,80,1,2,1,132,Cheapest price,Medium term
5592622,Queens,Astoria,40.75676,-73.91334,Private room,115,1,4,5,90,Cheapest price,Medium term
7465002,Queens,Astoria,40.76552,-73.92576,Private room,50,3,3,1,0,Cheapest price,Short term
3250450,Queens,Maspeth,40.74064,-73.89956,Private room,39,30,0,18,352,Cheapest price,Very Long term
4210082,Brooklyn,Prospect-Lefferts Gardens,40.66229,-73.96296,Private room,70,1,84,1,188,Cheapest price,Long term
43282809,Queens,Rockaway Beach,40.58954,-73.81361,Entire home/apt,125,1,0,1,67,Cheapest price,Short term
78832142,Manhattan,Upper East Side,40.77851,-73.94985,Entire home/apt,218,2,60,1,305,Cheapest price,Very Long term
178272943,Queens,Jamaica,40.67162,-73.77919,Private room,65,1,0,4,74,Cheapest price,Short term
273877318,Bronx,Claremont Village,40.83926,-73.91173,Private room,140,1,0,1,90,Cheapest price,Medium term
12149983,Manhattan,Civic Center,40.71645,-74.00402,Entire home/apt,250,2,2,1,0,Cheapest price,Short term
619942,Brooklyn,Cypress Hills,40.68935,-73.87254,Entire home/apt,150,30,0,6,17,Cheapest price,Short term
219782181,Manhattan,Lower East Side,40.715,-73.98596,Private room,80,1,22,3,123,Cheapest price,Medium term
22057975,Brooklyn,Bushwick,40.69271,-73.92535,Entire home/apt,140,4,120,1,100,Cheapest price,Medium term
96479013,Brooklyn,Bedford-Stuyvesant,40.69402,-73.94679,Private room,72,6,6,3,66,Cheapest price,Short term
67373452,Queens,Ridgewood,40.69894,-73.90064,Private room,50,7,6,1,128,Cheapest price,Medium term
33955029,Manhattan,East Village,40.72492,-73.98982,Private room,160,3,15,1,0,Cheapest price,Short term
100354001,Queens,Rosedale,40.6598,-73.73316,Entire home/apt,65,1,76,1,65,Cheapest price,Short term
3383356,Brooklyn,Williamsburg,40.71703,-73.9635,Private room,120,2,0,1,22,Cheapest price,Short term
91183632,Brooklyn,Williamsburg,40.71331,-73.9627,Private room,75,1,0,1,43,Cheapest price,Short term
223087887,Queens,Corona,40.74116,-73.86705,Shared room,25,2,10,8,344,Cheapest price,Very Long term
1542713,Manhattan,West Village,40.73539,-74.00818,Entire home/apt,175,2,105,1,276,Cheapest price,Very Long term
38757107,Brooklyn,Bedford-Stuyvesant,40.68978,-73.94444,Entire home/apt,100,7,2,1,0,Cheapest price,Short term
133410608,Brooklyn,Kensington,40.64549,-73.97883,Private room,99,7,0,1,87,Cheapest price,Short term
16098958,Manhattan,Upper West Side,40.79141,-73.97345,Entire home/apt,140,30,0,96,338,Cheapest price,Very Long term
20241112,Brooklyn,Prospect-Lefferts Gardens,40.65581,-73.95732,Entire home/apt,85,3,12,1,263,Cheapest price,Long term
304262,Manhattan,Lower East Side,40.71555,-73.98949,Entire home/apt,165,30,0,1,353,Cheapest price,Very Long term
17544112,Brooklyn,Bay Ridge,40.62356,-74.024,Entire home/apt,170,4,137,1,302,Cheapest price,Very Long term
2806561,Brooklyn,Crown Heights,40.67391,-73.94039,Entire home/apt,180,2,221,1,264,Cheapest price,Long term
10633027,Brooklyn,Sheepshead Bay,40.59425,-73.95922,Entire home/apt,139,2,41,3,29,Cheapest price,Short term
16098958,Manhattan,Murray Hill,40.74404,-73.97217,Private room,135,30,2,96,303,Cheapest price,Very Long term
261632622,Manhattan,Theater District,40.75628,-73.98356,Private room,100,1,4,9,309,Cheapest price,Very Long term
1475015,Manhattan,Hell's Kitchen,40.76882,-73.98699,Entire home/apt,110,30,10,52,323,Cheapest price,Very Long term
14380456,Manhattan,Hell's Kitchen,40.75971,-73.98979,Private room,120,1,365,1,174,Cheapest price,Medium term
28888685,Manhattan,SoHo,40.72528,-74.00223,Private room,72,2,5,1,0,Cheapest price,Short term
397900,Brooklyn,Kensington,40.63984,-73.97197,Entire home/apt,225,4,0,1,0,Cheapest price,Short term
1499286,Manhattan,Midtown,40.76326,-73.98165,Entire home/apt,395,5,37,2,350,Cheapest price,Very Long term
6452596,Manhattan,Chinatown,40.71544,-73.99052,Entire home/apt,250,2,1,1,0,Cheapest price,Short term
2326551,Manhattan,East Village,40.7277,-73.98362,Entire home/apt,140,1,38,2,101,Cheapest price,Medium term
179020,Manhattan,Hell's Kitchen,40.76311,-73.99388,Private room,99,1,89,1,353,Cheapest price,Very Long term
104838182,Manhattan,Upper West Side,40.8013,-73.96669,Private room,85,7,14,1,0,Cheapest price,Short term
14785032,Queens,St. Albans,40.69112,-73.77761,Private room,48,1,165,1,365,Cheapest price,Very Long term
25439443,Manhattan,Harlem,40.81831,-73.93833,Entire home/apt,85,30,5,1,7,Cheapest price,Short term
3811546,Brooklyn,Bedford-Stuyvesant,40.69076,-73.95404,Entire home/apt,122,4,59,1,217,Cheapest price,Long term
101276529,Queens,Flushing,40.75558,-73.83343,Private room,96,1,73,1,343,Cheapest price,Very Long term
46644337,Brooklyn,Bedford-Stuyvesant,40.68357,-73.94126,Entire home/apt,149,2,26,3,360,Cheapest price,Very Long term
21228368,Queens,Forest Hills,40.71146,-73.84677,Private room,65,4,20,5,133,Cheapest price,Medium term
16580725,Brooklyn,Bedford-Stuyvesant,40.68073,-73.90915,Entire home/apt,128,3,89,1,32,Cheapest price,Short term
26111584,Manhattan,Upper East Side,40.77601,-73.95441,Entire home/apt,178,2,72,1,0,Cheapest price,Short term
113834719,Manhattan,Chelsea,40.75169,-74.00382,Entire home/apt,350,3,0,1,0,Cheapest price,Short term
64177548,Manhattan,Hell's Kitchen,40.76,-73.98915,Private room,135,3,65,1,25,Cheapest price,Short term
253110236,Queens,Springfield Gardens,40.66465,-73.74907,Entire home/apt,150,3,6,1,176,Cheapest price,Medium term
88780960,Brooklyn,Bedford-Stuyvesant,40.6777,-73.92176,Private room,31,7,1,1,0,Cheapest price,Short term
32583105,Manhattan,Upper East Side,40.77867,-73.95121,Private room,90,1,75,1,359,Cheapest price,Very Long term
78672740,Brooklyn,Flatbush,40.64809,-73.9677,Private room,72,1,25,1,333,Cheapest price,Very Long term
180991373,Queens,Flushing,40.74298,-73.82306,Private room,60,1,26,5,46,Cheapest price,Short term
258243498,Brooklyn,Williamsburg,40.70517,-73.94288,Private room,125,1,2,3,89,Cheapest price,Short term
180212824,Manhattan,Upper East Side,40.76516,-73.95841,Private room,80,1,23,5,0,Cheapest price,Short term
214620702,Brooklyn,Red Hook,40.67864,-74.00546,Entire home/apt,750,1,6,1,179,Cheapest price,Medium term
1354727,Queens,Astoria,40.77572,-73.9339,Entire home/apt,150,5,2,2,0,Cheapest price,Short term
268585880,Brooklyn,Williamsburg,40.71659,-73.94397,Entire home/apt,80,1,0,2,1,Cheapest price,Short term
44129118,Manhattan,Financial District,40.70997,-74.00816,Private room,150,4,0,2,0,Cheapest price,Short term
43349835,Manhattan,Gramercy,40.73395,-73.9821,Entire home/apt,135,14,2,1,240,Cheapest price,Long term
32294,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,3,219,Cheapest price,Long term
923915,Manhattan,East Village,40.72566,-73.97748,Private room,110,3,81,2,274,Cheapest price,Very Long term
106272021,Brooklyn,East Flatbush,40.66067,-73.93796,Private room,50,2,16,3,43,Cheapest price,Short term
14601436,Manhattan,Lower East Side,40.71484,-73.98977,Entire home/apt,185,5,4,1,0,Cheapest price,Short term
1884204,Brooklyn,Bedford-Stuyvesant,40.68522,-73.93557,Entire home/apt,105,5,227,2,234,Cheapest price,Long term
44776542,Brooklyn,Bedford-Stuyvesant,40.68627,-73.94898,Private room,66,1,0,1,0,Cheapest price,Short term
30719074,Manhattan,Theater District,40.75927,-73.98592,Private room,80,7,0,1,0,Cheapest price,Short term
51662642,Brooklyn,Crown Heights,40.67023,-73.95257,Entire home/apt,90,1,0,1,0,Cheapest price,Short term
2422554,Bronx,Highbridge,40.83746,-73.92268,Private room,59,4,51,2,0,Cheapest price,Short term
14078461,Manhattan,Harlem,40.82421,-73.95426,Private room,40,7,1,1,0,Cheapest price,Short term
95341869,Brooklyn,Bedford-Stuyvesant,40.69502,-73.93984,Private room,60,2,47,1,77,Cheapest price,Short term
26432133,Queens,East Elmhurst,40.76335,-73.87007,Private room,48,1,510,5,341,Cheapest price,Very Long term
94509134,Brooklyn,Crown Heights,40.67961,-73.96325,Entire home/apt,190,1,12,1,9,Cheapest price,Short term
2450665,Brooklyn,South Slope,40.66641,-73.98283,Entire home/apt,249,3,12,1,26,Cheapest price,Short term
36576422,Queens,Forest Hills,40.71754,-73.83367,Entire home/apt,150,2,31,1,89,Cheapest price,Short term
1218437,Queens,Ditmars Steinway,40.77611,-73.90818,Private room,40,20,1,1,156,Cheapest price,Medium term
283636,Brooklyn,Clinton Hill,40.68545,-73.96048,Entire home/apt,200,3,22,1,363,Cheapest price,Very Long term
113805886,Manhattan,Upper East Side,40.77736,-73.95156,Entire home/apt,200,31,2,33,325,Cheapest price,Very Long term
64825610,Manhattan,Hell's Kitchen,40.76011,-73.99087,Entire home/apt,299,3,23,2,207,Cheapest price,Long term
4354856,Brooklyn,Williamsburg,40.71486,-73.94826,Private room,50,60,0,2,0,Cheapest price,Short term
234393604,Queens,Middle Village,40.71474,-73.89931,Private room,28,1,21,1,14,Cheapest price,Short term
256981777,Manhattan,East Village,40.72388,-73.97902,Entire home/apt,245,30,0,1,16,Cheapest price,Short term
266246187,Brooklyn,Flatbush,40.63053,-73.96227,Shared room,150,15,0,1,180,Cheapest price,Long term
2928002,Manhattan,Upper West Side,40.79917,-73.96795,Private room,69,4,2,1,0,Cheapest price,Short term
6337882,Manhattan,Chelsea,40.75319,-74.00159,Entire home/apt,300,2,11,1,137,Cheapest price,Medium term
209350565,Brooklyn,Crown Heights,40.67754,-73.94824,Private room,90,1,52,1,0,Cheapest price,Short term
26082446,Brooklyn,Bushwick,40.69607,-73.92295,Private room,100,1,0,1,0,Cheapest price,Short term
50132533,Bronx,Riverdale,40.88422,-73.90886,Entire home/apt,85,1,0,1,0,Cheapest price,Short term
41069190,Manhattan,Midtown,40.76587,-73.98211,Entire home/apt,380,4,0,1,0,Cheapest price,Short term
11365400,Queens,Long Island City,40.73674,-73.92973,Private room,75,1,91,2,0,Cheapest price,Short term
1407079,Brooklyn,Bushwick,40.69936,-73.91729,Entire home/apt,120,30,0,1,0,Cheapest price,Short term
48331309,Staten Island,Tompkinsville,40.63101,-74.08443,Entire home/apt,95,4,54,1,0,Cheapest price,Short term
20214811,Brooklyn,Greenpoint,40.72672,-73.94715,Entire home/apt,66,3,3,1,0,Cheapest price,Short term
9390190,Manhattan,SoHo,40.72364,-73.99923,Shared room,100,1,51,4,82,Cheapest price,Short term
220688207,Brooklyn,Williamsburg,40.70959,-73.96111,Entire home/apt,150,1,77,1,77,Cheapest price,Short term
23267314,Manhattan,East Harlem,40.79127,-73.94431,Entire home/apt,147,2,45,2,154,Cheapest price,Medium term
91332497,Manhattan,SoHo,40.72256,-74.00018,Private room,130,2,3,1,0,Cheapest price,Short term
137358866,Brooklyn,Bushwick,40.69177,-73.9135,Private room,41,30,2,103,186,Cheapest price,Long term
75443454,Queens,Ditmars Steinway,40.77307,-73.91822,Private room,87,3,3,2,343,Cheapest price,Very Long term
179382251,Queens,Ditmars Steinway,40.77289,-73.91293,Entire home/apt,100,7,24,1,260,Cheapest price,Long term
10437339,Manhattan,West Village,40.73845,-74.00551,Entire home/apt,220,10,8,2,0,Cheapest price,Short term
21610233,Manhattan,Battery Park City,40.71756,-74.01659,Entire home/apt,650,7,0,1,12,Cheapest price,Short term
101328784,Manhattan,Upper West Side,40.78243,-73.97265,Entire home/apt,265,7,13,1,130,Cheapest price,Medium term
19046961,Brooklyn,Bedford-Stuyvesant,40.68905,-73.92685,Private room,45,5,8,1,247,Cheapest price,Long term
416361,Brooklyn,Bedford-Stuyvesant,40.68036,-73.94587,Private room,150,3,1,1,179,Cheapest price,Medium term
42761912,Manhattan,Hell's Kitchen,40.76333,-73.99141,Private room,125,1,0,1,207,Cheapest price,Long term
258186526,Queens,Woodside,40.74823,-73.90352,Entire home/apt,189,2,10,1,62,Cheapest price,Short term
323517,Manhattan,Upper West Side,40.80082,-73.9652,Private room,109,1,104,2,364,Cheapest price,Very Long term
50291368,Brooklyn,Bushwick,40.6882,-73.90598,Private room,46,2,18,1,0,Cheapest price,Short term
5903619,Manhattan,Hell's Kitchen,40.76464,-73.99403,Private room,125,1,45,1,322,Cheapest price,Very Long term
5597411,Brooklyn,Kensington,40.6357,-73.97208,Entire home/apt,150,14,0,2,112,Cheapest price,Medium term
19903807,Bronx,Mott Haven,40.81132,-73.91715,Entire home/apt,145,3,1,3,48,Cheapest price,Short term
1378036,Brooklyn,Fort Greene,40.6931,-73.9723,Entire home/apt,250,3,6,1,0,Cheapest price,Short term
19135883,Manhattan,Kips Bay,40.74178,-73.97313,Entire home/apt,260,4,15,1,34,Cheapest price,Short term
224972774,Brooklyn,Williamsburg,40.71518,-73.95777,Entire home/apt,300,3,6,1,128,Cheapest price,Medium term
4932354,Brooklyn,Prospect Heights,40.67915,-73.97125,Entire home/apt,215,3,2,4,189,Cheapest price,Long term
33592161,Brooklyn,Bushwick,40.69777,-73.92252,Entire home/apt,95,3,5,1,0,Cheapest price,Short term
23533897,Brooklyn,Crown Heights,40.6759,-73.95274,Private room,75,1,77,7,340,Cheapest price,Very Long term
58222366,Bronx,Claremont Village,40.83502,-73.91058,Private room,125,2,0,1,364,Cheapest price,Very Long term
229486123,Manhattan,Midtown,40.76066,-73.96639,Entire home/apt,479,2,4,1,286,Cheapest price,Very Long term
104151293,Manhattan,East Harlem,40.80921,-73.94019,Entire home/apt,160,1,1,1,26,Cheapest price,Short term
128895953,Brooklyn,Midwood,40.61193,-73.96259,Private room,65,3,3,1,364,Cheapest price,Very Long term
113723310,Manhattan,Murray Hill,40.74757,-73.98187,Entire home/apt,150,30,0,8,342,Cheapest price,Very Long term
3191545,Manhattan,Kips Bay,40.74425,-73.97754,Entire home/apt,150,30,0,23,363,Cheapest price,Very Long term
24304455,Manhattan,Flatiron District,40.73967,-73.98643,Entire home/apt,99,14,0,1,0,Cheapest price,Short term
69632344,Queens,South Ozone Park,40.67866,-73.8068,Entire home/apt,100,5,44,1,350,Cheapest price,Very Long term
11354707,Queens,Long Island City,40.75588,-73.93117,Entire home/apt,130,3,6,1,0,Cheapest price,Short term
5655889,Manhattan,East Village,40.72351,-73.98283,Entire home/apt,499,5,47,1,341,Cheapest price,Very Long term
221036535,Brooklyn,East New York,40.66957,-73.86585,Entire home/apt,300,1,12,1,175,Cheapest price,Medium term
190096034,Queens,Corona,40.74464,-73.86012,Private room,60,1,63,3,155,Cheapest price,Medium term
268430876,Staten Island,St. George,40.63772,-74.08315,Private room,42,1,0,1,87,Cheapest price,Short term
3274376,Brooklyn,Clinton Hill,40.68304,-73.96348,Entire home/apt,200,3,56,1,365,Cheapest price,Very Long term
57094235,Manhattan,Financial District,40.7086,-74.01376,Private room,100,8,1,1,0,Cheapest price,Short term
19303369,Manhattan,Inwood,40.86423,-73.92348,Private room,33,29,1,37,32,Cheapest price,Short term
225620034,Manhattan,East Village,40.73011,-73.98405,Entire home/apt,189,1,13,1,338,Cheapest price,Very Long term
205031545,Manhattan,Midtown,40.75385,-73.96536,Entire home/apt,956,4,2,49,80,Cheapest price,Short term
975030,Brooklyn,Bedford-Stuyvesant,40.67664,-73.91163,Entire home/apt,90,3,36,1,253,Cheapest price,Long term
2981156,Queens,Astoria,40.76359,-73.92531,Entire home/apt,160,2,13,2,56,Cheapest price,Short term
36288249,Queens,Long Island City,40.7478,-73.94113,Private room,200,29,14,1,364,Cheapest price,Very Long term
9090698,Manhattan,Chelsea,40.74311,-74.00718,Entire home/apt,275,30,2,1,365,Cheapest price,Very Long term
117365574,Manhattan,Chelsea,40.74806,-73.99665,Private room,85,1,77,5,310,Cheapest price,Very Long term
2793924,Manhattan,Upper East Side,40.76909,-73.95479,Entire home/apt,140,4,4,1,5,Cheapest price,Short term
9130040,Brooklyn,East Flatbush,40.6624,-73.9329,Private room,89,1,3,6,365,Cheapest price,Very Long term
8551260,Brooklyn,Williamsburg,40.70608,-73.94269,Private room,100,4,3,2,0,Cheapest price,Short term
10975951,Brooklyn,Bedford-Stuyvesant,40.69348,-73.94499,Private room,60,2,2,1,1,Cheapest price,Short term
252604696,Manhattan,Chelsea,40.74942,-73.99536,Private room,149,1,0,20,359,Cheapest price,Very Long term
4071035,Manhattan,Two Bridges,40.71231,-73.99257,Entire home/apt,140,3,137,1,154,Cheapest price,Medium term
2449193,Manhattan,Hell's Kitchen,40.76052,-73.99241,Private room,109,2,7,1,10,Cheapest price,Short term
22541573,Manhattan,Upper West Side,40.78989,-73.97264,Entire home/apt,267,30,0,87,354,Cheapest price,Very Long term
61391963,Manhattan,Midtown,40.75605,-73.96503,Entire home/apt,165,30,0,91,180,Cheapest price,Long term
1524602,Brooklyn,Williamsburg,40.71653,-73.94131,Private room,48,90,0,1,358,Cheapest price,Very Long term
7088204,Brooklyn,Crown Heights,40.67131,-73.94979,Entire home/apt,150,5,8,1,118,Cheapest price,Medium term
32345243,Brooklyn,Bushwick,40.69596,-73.92712,Private room,39,4,1,1,0,Cheapest price,Short term
47062032,Manhattan,Morningside Heights,40.80432,-73.96694,Entire home/apt,130,2,56,1,0,Cheapest price,Short term
216519008,Manhattan,Hell's Kitchen,40.76382,-73.98902,Private room,97,3,8,2,10,Cheapest price,Short term
1709718,Manhattan,Midtown,40.76453,-73.97769,Private room,285,1,32,2,365,Cheapest price,Very Long term
10718241,Brooklyn,Greenpoint,40.7191,-73.94964,Private room,50,1,0,1,0,Cheapest price,Short term
1459837,Brooklyn,Bedford-Stuyvesant,40.68056,-73.9151,Entire home/apt,101,10,16,1,0,Cheapest price,Short term
17274880,Brooklyn,Bedford-Stuyvesant,40.69343,-73.9371,Private room,35,5,5,1,0,Cheapest price,Short term
33401596,Brooklyn,Bedford-Stuyvesant,40.69048,-73.94763,Entire home/apt,120,3,5,1,0,Cheapest price,Short term
54255,Brooklyn,Bedford-Stuyvesant,40.68469,-73.93467,Entire home/apt,185,3,213,3,298,Cheapest price,Very Long term
5189987,Manhattan,SoHo,40.7252,-74.00279,Entire home/apt,190,4,25,1,0,Cheapest price,Short term
70490424,Manhattan,Chelsea,40.75348,-73.9986,Entire home/apt,900,1,2,1,360,Cheapest price,Very Long term
17477908,Manhattan,Upper West Side,40.79285,-73.9676,Entire home/apt,264,30,2,10,343,Cheapest price,Very Long term
140492812,Brooklyn,Bushwick,40.70587,-73.92358,Entire home/apt,94,2,13,2,0,Cheapest price,Short term
1420300,Brooklyn,Bedford-Stuyvesant,40.68492,-73.95489,Entire home/apt,800,4,122,1,257,Cheapest price,Long term
6636052,Manhattan,East Harlem,40.79805,-73.93527,Private room,65,2,62,1,9,Cheapest price,Short term
4864306,Brooklyn,Greenpoint,40.72668,-73.95555,Private room,50,2,13,3,282,Cheapest price,Very Long term
356690,Brooklyn,Flatlands,40.62677,-73.9326,Entire home/apt,175,2,17,1,0,Cheapest price,Short term
9503685,Brooklyn,Bedford-Stuyvesant,40.69175,-73.94334,Entire home/apt,150,2,3,2,0,Cheapest price,Short term
1362808,Manhattan,Upper East Side,40.76373,-73.96897,Entire home/apt,300,3,5,1,27,Cheapest price,Short term
2843970,Manhattan,Flatiron District,40.74121,-73.98648,Entire home/apt,220,1,1,1,0,Cheapest price,Short term
50235395,Manhattan,Morningside Heights,40.80569,-73.96333,Private room,75,14,0,1,0,Cheapest price,Short term
273392981,Queens,Long Island City,40.75615,-73.94121,Private room,101,1,0,3,365,Cheapest price,Very Long term
21191214,Brooklyn,Clinton Hill,40.68348,-73.96394,Entire home/apt,99,5,0,1,0,Cheapest price,Short term
20019653,Manhattan,East Village,40.72309,-73.98285,Private room,50,1,1,1,0,Cheapest price,Short term
161915399,Manhattan,East Village,40.72245,-73.98337,Entire home/apt,260,1,86,1,259,Cheapest price,Long term
20559017,Manhattan,Upper East Side,40.76164,-73.95995,Private room,65,30,3,9,342,Cheapest price,Very Long term
1726966,Brooklyn,Crown Heights,40.67167,-73.92434,Shared room,48,1,146,1,0,Cheapest price,Short term
244370442,Manhattan,Theater District,40.76033,-73.98636,Private room,324,1,5,7,363,Cheapest price,Very Long term
219517861,Manhattan,Financial District,40.7058,-74.0121,Entire home/apt,404,2,10,327,330,Cheapest price,Very Long term
8822845,Brooklyn,Williamsburg,40.70353,-73.93482,Entire home/apt,140,7,16,1,1,Cheapest price,Short term
35920741,Brooklyn,Flatlands,40.61637,-73.92206,Private room,100,1,18,1,364,Cheapest price,Very Long term
48148603,Brooklyn,Greenpoint,40.73469,-73.95778,Private room,60,1,1,1,0,Cheapest price,Short term
9761047,Brooklyn,Williamsburg,40.71527,-73.96037,Private room,65,3,2,3,0,Cheapest price,Short term
2280048,Brooklyn,East Flatbush,40.66097,-73.9319,Entire home/apt,79,4,15,1,174,Cheapest price,Medium term
61169465,Brooklyn,Bedford-Stuyvesant,40.68475,-73.93589,Private room,50,3,1,1,0,Cheapest price,Short term
6509406,Manhattan,Hell's Kitchen,40.75786,-73.99485,Entire home/apt,800,1,0,1,0,Cheapest price,Short term
34394667,Brooklyn,Bedford-Stuyvesant,40.67782,-73.92326,Entire home/apt,125,3,15,1,175,Cheapest price,Medium term
266505967,Bronx,Fordham,40.86066,-73.89883,Private room,149,1,0,1,363,Cheapest price,Very Long term
44225290,Brooklyn,Williamsburg,40.71323,-73.94866,Entire home/apt,105,3,26,1,0,Cheapest price,Short term
14902860,Brooklyn,Bedford-Stuyvesant,40.68432,-73.9425,Entire home/apt,151,3,34,5,308,Cheapest price,Very Long term
156158778,Manhattan,Upper West Side,40.78545,-73.97123,Entire home/apt,3613,1,1,12,158,High price,Medium term
137358866,Queens,Long Island City,40.74821,-73.92087,Private room,44,30,0,103,247,Cheapest price,Long term
205031545,Manhattan,Midtown,40.75371,-73.96515,Entire home/apt,675,28,0,49,251,Cheapest price,Long term
104364388,Manhattan,Chelsea,40.7413,-74.00429,Entire home/apt,350,30,11,1,275,Cheapest price,Very Long term
12233355,Brooklyn,Greenpoint,40.72421,-73.94074,Entire home/apt,200,1,0,2,0,Cheapest price,Short term
216235179,Brooklyn,Bushwick,40.69992,-73.92013,Private room,50,30,1,17,326,Cheapest price,Very Long term
11699708,Manhattan,Harlem,40.80931,-73.9412,Private room,75,1,81,1,158,Cheapest price,Medium term
